"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0.5,0.5,0.448275862068966,0.323529411764706,0.75,0.681818181818182,0.292682926829268,0.382352941176471,0.387096774193548,0.148148148148148
"2",0.594594594594595,0.464285714285714,0.666666666666667,0.382352941176471,0.484848484848485,0.583333333333333,0.428571428571429,0.448275862068966,0.193548387096774,0.128205128205128
"3",0.44,0.533333333333333,0.432432432432432,0.228571428571429,0.708333333333333,0.384615384615385,0.257142857142857,0.310344827586207,0.304347826086957,0.242424242424242
"4",0.448275862068966,0.533333333333333,0.636363636363636,0.761904761904762,0.321428571428571,0.448275862068966,0.571428571428571,0.177777777777778,0.258064516129032,0.238095238095238
"5",0.394736842105263,0.5,0.645161290322581,0.607142857142857,0.394736842105263,0.515151515151515,0.48,0.424242424242424,0.473684210526316,0.32
"6",0.56,0.62962962962963,0.314285714285714,0.413793103448276,0.451612903225806,0.5,0.387096774193548,0.48,0.216216216216216,0.1875
"7",0.363636363636364,0.59375,0.324324324324324,0.566666666666667,0.514285714285714,0.413793103448276,0.361111111111111,0.533333333333333,0.302325581395349,0.133333333333333
"8",0.484848484848485,0.333333333333333,0.583333333333333,0.64,0.444444444444444,0.916666666666667,0.310344827586207,0.242424242424242,0.28,0.264705882352941
"9",0.619047619047619,0.56,0.6,0.470588235294118,0.53125,0.666666666666667,0.317073170731707,0.392857142857143,0.314285714285714,0.107142857142857
"10",0.333333333333333,0.548387096774194,0.472222222222222,0.387096774193548,0.393939393939394,0.552631578947368,0.256410256410256,0.419354838709677,0.454545454545455,0.208333333333333
"11",0.311111111111111,0.538461538461538,0.458333333333333,0.555555555555556,0.451612903225806,0.393939393939394,0.583333333333333,0.32258064516129,0.25,0.25
"12",0.333333333333333,0.363636363636364,0.392857142857143,0.541666666666667,0.289473684210526,0.466666666666667,0.523809523809524,0.5,0.32,0.2
"13",0.769230769230769,0.523809523809524,0.517241379310345,0.407407407407407,0.481481481481481,0.379310344827586,0.4375,0.25,0.333333333333333,0.384615384615385
"14",0.314285714285714,0.533333333333333,0.625,0.393939393939394,0.473684210526316,0.5,0.454545454545455,0.225806451612903,0.225806451612903,0.233333333333333
"15",0.375,0.393939393939394,0.703703703703704,0.448275862068966,0.545454545454545,0.333333333333333,0.46875,0.52,0.2,0.2
"16",0.483870967741935,0.256410256410256,0.5,0.68,0.619047619047619,0.212121212121212,0.34375,0.485714285714286,0.277777777777778,0.272727272727273
